# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: sbreak.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   00001000   ---        --------
               6   N   00001000   0000e101   00001004   x10_a0     00000000
               7   N   00001004   00004e01   00001006   ---        --------
               8   N   00001006   fffff297   00001008   x28_t3     00000000
               9   N   00001008   4f828293   0000100c   x05_t0     00000008
              10   N   0000100c   30529073   00001010   x05_t0     00000500
              11   N   00001010   00004505   00001014   ---        --------
              12   N   00001014   0000057e   00001016   x10_a0     00000001
              13   N   00001016   00054863   00001018   x10_a0     80000000
              14   N   00001018   0ff0000f   00001028   ---        --------
              17   N   00001028   00028f63   0000102c   x05_t0     00000000
              18   N   0000102c   10529073   0000104a   ---        --------
              22   N   0000104a   00006509   0000104e   ---        --------
              23   N   0000104e   00006509   0000104e   ---        --------
              24   N   0000104e   80050513   00001050   x10_a0     00002000
              25   N   00001050   30052073   00001054   x10_a0     00001800
              26   N   00001054   00000297   00001058   ---        --------
              27   N   00001058   00000297   00001058   ---        --------
              28   N   00001058   62c28293   0000105c   x05_t0     00001058
              29   N   0000105c   34129073   00001060   x05_t0     00001684
              30   N   00001060   f1402573   00001064   ---        --------
              31   N   00001064   30200073   00001068   x10_a0     00000000
              33   N   00001068   00000000   00001684   ---        --------
              36   N   00001684   00009002   00001686   x28_t3     00000002
              37   E   00001686   0000a019   00000500   mstatus    00001800
              37   E   00001686   0000a019   00000500   mepc       00001686
              37   E   00001686   0000a019   00000500   mcause     00000003
              37   E   00001686   0000a019   00000500   mtval      00000000
              40   N   00000500   000047a1   00000504   x14_a4     00000003
              41   N   00000504   04f70263   00000506   x15_a5     00000008
              42   N   00000506   000047a5   0000050a   ---        --------
              43   N   0000050a   02f70f63   0000050c   x15_a5     00000009
              44   N   0000050c   000047ad   00000510   ---        --------
              45   N   00000510   02f70c63   00000512   x15_a5     0000000b
              46   N   00000512   47ad0837   00000516   ---        --------
              48   N   00000516   02f71897   0000051a   x16_a6     f0000000
              50   N   0000051a   f0008893   0000051e   x17_a7     0000151a
              52   N   0000051e   00008783   00000522   x17_a7     00001680
              55   N   00000522   0000c791   00000526   x15_a5     00000042
              56   N   00000526   00f82023   00000528   ---        --------
              58   N   00000528   00000885   0000052c   ---        --------
              59   N   0000052c   ff5ff06f   0000052e   x17_a7     00001681
              60   N   0000052e   08851717   00000522   ---        --------
              65   N   00000522   0000c791   00000526   x15_a5     00000050
              66   N   00000526   00f82023   00000528   ---        --------
              68   N   00000528   00000885   0000052c   ---        --------
              69   N   0000052c   ff5ff06f   0000052e   x17_a7     00001682
              70   N   0000052e   08851717   00000522   ---        --------
              75   N   00000522   0000c791   00000526   x15_a5     00000021
              76   N   00000526   00f82023   00000528   ---        --------
              78   N   00000528   00000885   0000052c   ---        --------
              79   N   0000052c   ff5ff06f   0000052e   x17_a7     00001683
              80   N   0000052e   08851717   00000522   ---        --------
              85   N   00000522   0000c791   00000526   x15_a5     00000000
              86   N   00000526   00f82023   00000532   ---        --------
              90   N   00000532   20230713   00000536   x14_a4     00001532
              92   N   00000536   0000c311   0000053a   x14_a4     000016a8
              93   N   0000053a   00008702   0000053c   ---        --------
              94   N   0000053c   34202773   000016a8   ---        --------
              97   N   000016a8   342022f3   000016aa   x06_t1     00000003
              98   N   000016aa   430d90e3   000016ae   x05_t0     00000003
             100   N   000016ae   34200317   000016b2   ---        --------
             102   N   000016b2   fe620313   000016b6   x06_t1     000016b2
             104   N   000016b6   000022f3   000016ba   x06_t1     00001686
             106   N   000016ba   fd4398e3   000016be   x05_t0     00001686
             108   N   000016be   0000bfe1   000016c2   ---        --------
             109   N   000016c2   00000073   0000169a   ---        --------
             113   N   0000169a   000085f2   0000169e   ---        --------
             114   N   0000169e   00004501   000016a0   x11_a1     00000002
             115   N   000016a0   00000073   000016a2   x10_a0     00000000
             116   E   000016a2   00000001   00000500   mstatus    00001800
             116   E   000016a2   00000001   00000500   mepc       000016a2
             116   E   000016a2   00000001   00000500   mcause     0000000b
             116   E   000016a2   00000001   00000500   mtval      00000000
             119   N   00000500   000047a1   00000504   x14_a4     0000000b
             120   N   00000504   04f70263   00000506   x15_a5     00000008
             121   N   00000506   000047a5   0000050a   ---        --------
             122   N   0000050a   02f70f63   0000050c   x15_a5     00000009
             123   N   0000050c   000047ad   00000510   ---        --------
             124   N   00000510   02f70c63   00000512   x15_a5     0000000b
             125   N   00000512   47ad0837   0000054a   ---        --------
             129   N   0000054a   08370013   000016e0   ---        --------
             132   N   000016e0   a1428293   000016e4   x05_t0     000006e0
             133   N   000016e4   00008282   000016e8   x05_t0     000000f4
             134   N   000016e8   00000013   000000f4   ---        --------
             137   N   000000f4   0000006f   000000f8   ---        --------
             138   N   000000f8   ffffffff   000000f8   ---        --------
